TP_ESCOLA,NU_NOTA_MT,NU_NOTA_CN,NU_NOTA_REDACAO,NU_NOTA_LC
Pública,415.6,396.7,480.0,494.6
Pública,499.4,373.7,620.0,509.4
Privada,538.3,355.2,600.0,486.2
Privada,614.9,430.8,600.0,575.4
Pública,442.3,390.5,0.0,457.0
Privada,674.9,568.7,840.0,635.5
Pública,515.3,439.7,820.0,544.1
Privada,771.3,575.1,980.0,635.3
Pública,571.2,423.7,560.0,501.4
Privada,426.0,532.5,880.0,553.0
Pública,379.2,450.1,560.0,480.1
Pública,577.9,497.2,540.0,489.9
Pública,443.9,474.1,700.0,540.7
Pública,457.7,453.5,600.0,562.3
Pública,593.5,480.6,620.0,595.3
Pública,524.2,510.2,340.0,513.7
Pública,635.7,501.8,600.0,529.5
Privada,658.4,613.6,920.0,619.3
Privada,682.8,590.1,940.0,651.8
Pública,422.8,357.1,540.0,433.6
Pública,380.6,422.3,0.0,486.2
Pública,410.9,402.1,460.0,480.6
Pública,374.4,483.1,640.0,499.5
Pública,528.5,512.2,560.0,620.0
Privada,683.5,565.6,860.0,605.1
Pública,507.5,524.7,640.0,559.7
Pública,723.8,551.4,820.0,561.2
Pública,710.1,597.6,880.0,575.1
Pública,399.6,455.4,620.0,536.0
Pública,647.0,651.4,680.0,616.7
Pública,489.5,521.3,560.0,519.1
Pública,413.5,472.0,720.0,521.3
Pública,456.0,426.7,540.0,517.6
Pública,570.8,429.6,540.0,536.2
Pública,384.2,478.1,520.0,477.1
Pública,388.7,434.3,660.0,505.4
Pública,407.1,387.8,0.0,467.0
Pública,561.0,453.3,540.0,527.1
Pública,523.0,383.7,520.0,441.1
Privada,451.8,537.0,800.0,508.0
Pública,439.8,481.1,660.0,537.7
Pública,564.9,563.7,620.0,573.5
Pública,425.1,406.6,600.0,521.1
Pública,444.2,465.8,660.0,505.3
Pública,462.1,553.8,780.0,517.1
Pública,420.2,349.2,320.0,473.4
Privada,910.5,739.2,980.0,696.7
Pública,424.1,458.7,240.0,502.8
Privada,361.6,457.1,400.0,493.1
Pública,436.8,386.4,0.0,495.0
Pública,514.4,394.5,480.0,516.3
Privada,479.5,471.1,600.0,550.7
Pública,382.2,392.3,620.0,455.8
Pública,505.3,468.8,560.0,553.0
Pública,536.0,573.9,540.0,563.2
Privada,629.7,621.3,840.0,590.4
Privada,576.0,564.0,760.0,513.0
Privada,392.9,557.0,800.0,619.3
Pública,463.4,421.7,540.0,467.9
Pública,427.9,473.1,120.0,493.0
Pública,482.7,434.8,720.0,568.2
Pública,410.0,433.4,680.0,501.7
Pública,478.6,409.4,600.0,502.7
Privada,544.0,349.6,580.0,445.1
Pública,568.8,547.9,940.0,588.4
Pública,375.3,480.7,740.0,566.2
Privada,469.5,403.9,320.0,457.8
Pública,497.8,530.2,660.0,487.9
Pública,468.3,350.2,360.0,461.7
Pública,421.3,401.2,500.0,466.2
Pública,437.6,396.8,440.0,534.7
Privada,470.7,367.7,580.0,515.5
Pública,391.6,421.6,560.0,537.9
Pública,432.7,364.7,480.0,362.9
Pública,538.2,513.7,700.0,540.4
Pública,368.6,438.9,580.0,458.2
Privada,465.5,499.3,280.0,518.9
Pública,478.0,505.6,620.0,512.6
Pública,636.8,617.0,800.0,598.0
Pública,640.8,588.5,840.0,605.6
Pública,467.1,444.6,600.0,506.7
Pública,485.9,457.8,560.0,455.8
Pública,490.8,445.5,600.0,533.9
Pública,441.2,484.5,720.0,511.7
Pública,409.4,479.6,500.0,485.5
Pública,504.7,378.0,600.0,546.4
Privada,589.2,443.4,680.0,555.6
Pública,393.2,382.6,440.0,468.2
Privada,463.2,438.3,460.0,519.8
Privada,455.2,427.3,740.0,466.2
Pública,400.4,436.3,560.0,503.7
Pública,530.3,518.9,560.0,569.3
Pública,454.0,447.5,480.0,457.2
Privada,690.2,590.9,900.0,599.9
Pública,440.4,406.0,600.0,516.4
Pública,542.6,423.5,500.0,529.9
Pública,448.7,398.0,740.0,482.9
Pública,451.5,420.4,460.0,412.3
Pública,544.6,493.4,580.0,543.1
Pública,600.7,552.2,680.0,576.0
Pública,401.7,398.0,660.0,524.0
Pública,594.4,482.3,520.0,498.0
Pública,403.6,436.8,520.0,512.5
Privada,696.3,627.3,640.0,612.1
Pública,667.0,566.8,720.0,575.8
Pública,443.7,365.3,500.0,516.8
Pública,521.6,427.0,240.0,492.4
Pública,387.2,457.7,440.0,511.7
Privada,560.8,547.9,960.0,626.1
Pública,399.3,482.4,700.0,591.2
Pública,686.3,559.3,580.0,580.6
Privada,409.0,409.1,280.0,472.1
Pública,695.7,547.9,480.0,561.2
Pública,575.3,418.4,600.0,517.0
Privada,636.8,552.1,880.0,594.6
Pública,567.1,501.3,640.0,542.0
Privada,648.2,605.0,920.0,573.7
Pública,394.8,345.7,360.0,496.3
Pública,496.2,465.6,640.0,541.8
Privada,550.1,518.7,720.0,627.6
Pública,366.6,477.9,580.0,510.8
Privada,644.2,569.2,660.0,552.6
Pública,474.0,420.4,280.0,473.7
Pública,372.1,463.3,600.0,506.3
Privada,522.3,484.6,700.0,563.9
Pública,471.5,447.7,480.0,339.9
Pública,586.4,562.2,720.0,587.3
Pública,367.4,436.3,660.0,537.4
Privada,565.7,555.2,800.0,613.4
Pública,507.4,447.8,600.0,536.3
Pública,549.2,503.9,300.0,535.4
Pública,469.5,521.4,680.0,561.3
Pública,599.2,474.0,800.0,581.4
Pública,605.0,471.2,560.0,568.3
Privada,430.3,432.4,540.0,472.5
Pública,442.6,356.2,540.0,365.3
Pública,701.0,642.8,780.0,627.4
Pública,449.3,490.7,700.0,423.2
Pública,471.7,509.0,800.0,580.9
Privada,725.3,637.9,880.0,647.6
Pública,359.4,485.9,700.0,507.0
Pública,633.7,512.8,620.0,568.7
Pública,378.3,383.1,540.0,431.1
Pública,562.8,516.2,700.0,538.3
Pública,530.2,542.4,760.0,524.5
Pública,539.2,376.8,480.0,472.3
Pública,635.6,586.9,620.0,585.0
Privada,762.8,599.3,860.0,595.5
Pública,393.9,387.8,240.0,500.8
Pública,385.8,432.3,600.0,577.3
Pública,398.8,382.1,520.0,426.4
Pública,415.8,367.3,620.0,541.8
Pública,463.8,500.2,680.0,554.8
Pública,410.5,350.4,520.0,499.0
Pública,624.8,526.1,580.0,525.0
Privada,528.9,545.9,620.0,585.0
Pública,401.7,427.4,500.0,530.0
Pública,564.0,552.3,800.0,606.0
Pública,540.6,504.5,560.0,521.3
Pública,495.4,456.6,440.0,487.0
Pública,582.9,592.8,620.0,572.1
Pública,463.4,431.6,560.0,516.8
Pública,525.7,440.3,240.0,469.4
Pública,628.8,599.8,840.0,629.5
Pública,605.7,357.4,340.0,417.1
Pública,536.5,500.8,600.0,439.0
Pública,492.7,396.9,760.0,539.3
Pública,411.9,451.8,860.0,528.6
Privada,707.5,589.8,960.0,621.0
Pública,750.5,581.6,700.0,630.8
Pública,456.8,420.3,0.0,510.5
Pública,373.8,352.5,520.0,459.4
Pública,459.6,471.8,540.0,572.2
Privada,730.0,603.3,960.0,650.1
Pública,444.9,438.8,920.0,504.2
Pública,576.4,532.7,780.0,551.2
Pública,509.2,503.9,540.0,570.2
Pública,574.6,437.6,640.0,538.9
Pública,551.3,413.2,760.0,519.8
Pública,514.4,462.0,620.0,496.6
Pública,420.7,416.1,800.0,542.5
Pública,495.0,493.3,620.0,541.6
Pública,514.6,433.8,560.0,570.7
Pública,584.3,523.7,400.0,380.8
Privada,618.0,563.5,800.0,594.6
Privada,693.6,598.6,600.0,505.9
Pública,555.7,477.0,320.0,530.7
Pública,495.7,467.4,320.0,509.0
Pública,419.1,409.8,920.0,441.0
Pública,405.3,347.3,500.0,400.8
Pública,407.4,494.8,440.0,473.7
Pública,481.0,439.9,540.0,500.2
Privada,805.1,637.2,680.0,570.0
Pública,410.0,401.2,400.0,460.9
Privada,801.8,628.5,920.0,647.0
Pública,364.5,504.7,520.0,533.4
Pública,435.8,481.6,600.0,502.0
Privada,620.6,592.1,840.0,444.5
